Coordinate unit detected: Angstrom (record idx=0)
processed 100 (new_ok=100 fail=0, total=100)
processed 107000 (new_ok=62997 fail=3, total=106997)
processed 107100 (new_ok=63097 fail=3, total=107097)
processed 107200 (new_ok=63197 fail=3, total=107197)
processed 107300 (new_ok=63297 fail=3, total=107297)
processed 107400 (new_ok=63397 fail=3, total=107397)
processed 107500 (new_ok=63497 fail=3, total=107497)
processed 107600 (new_ok=63597 fail=3, total=107597)
processed 107700 (new_ok=63697 fail=3, total=107697)
processed 107800 (new_ok=63797 fail=3, total=107797)
processed 107900 (new_ok=63897 fail=3, total=107897)
processed 108000 (new_ok=63997 fail=3, total=107997)
processed 108100 (new_ok=64097 fail=3, total=108097)
processed 108200 (new_ok=64197 fail=3, total=108197)
processed 108300 (new_ok=64297 fail=3, total=108297)
processed 108400 (new_ok=64397 fail=3, total=108397)
processed 108500 (new_ok=64497 fail=3, total=108497)
processed 108600 (new_ok=64597 fail=3, total=108597)
processed 108700 (new_ok=64697 fail=3, total=108697)
processed 108800 (new_ok=64797 fail=3, total=108797)
processed 108900 (new_ok=64897 fail=3, total=108897)
processed 109000 (new_ok=64997 fail=3, total=108997)
processed 109100 (new_ok=65097 fail=3, total=109097)
processed 109200 (new_ok=65197 fail=3, total=109197)
processed 109300 (new_ok=65297 fail=3, total=109297)
processed 109400 (new_ok=65397 fail=3, total=109397)
processed 109500 (new_ok=65497 fail=3, total=109497)
processed 109600 (new_ok=65597 fail=3, total=109597)
processed 109700 (new_ok=65697 fail=3, total=109697)
processed 109800 (new_ok=65797 fail=3, total=109797)
processed 109900 (new_ok=65897 fail=3, total=109897)
processed 110000 (new_ok=65997 fail=3, total=109997)
processed 110100 (new_ok=66097 fail=3, total=110097)
processed 110200 (new_ok=66197 fail=3, total=110197)
processed 110300 (new_ok=66297 fail=3, total=110297)
processed 110400 (new_ok=66397 fail=3, total=110397)
processed 110500 (new_ok=66497 fail=3, total=110497)
processed 110600 (new_ok=66597 fail=3, total=110597)
processed 110700 (new_ok=66697 fail=3, total=110697)
processed 110800 (new_ok=66797 fail=3, total=110797)
processed 110900 (new_ok=66897 fail=3, total=110897)
processed 111000 (new_ok=66997 fail=3, total=110997)
processed 111100 (new_ok=67097 fail=3, total=111097)
processed 111200 (new_ok=67197 fail=3, total=111197)
processed 111300 (new_ok=67297 fail=3, total=111297)
processed 111400 (new_ok=67397 fail=3, total=111397)
processed 111500 (new_ok=67497 fail=3, total=111497)
processed 111600 (new_ok=67597 fail=3, total=111597)
processed 111700 (new_ok=67697 fail=3, total=111697)
processed 111800 (new_ok=67797 fail=3, total=111797)
processed 111900 (new_ok=67897 fail=3, total=111897)
processed 112000 (new_ok=67997 fail=3, total=111997)
processed 112100 (new_ok=68097 fail=3, total=112097)
processed 112200 (new_ok=68197 fail=3, total=112197)
processed 112300 (new_ok=68297 fail=3, total=112297)
processed 112400 (new_ok=68397 fail=3, total=112397)
processed 112500 (new_ok=68497 fail=3, total=112497)
processed 112600 (new_ok=68597 fail=3, total=112597)
processed 112700 (new_ok=68697 fail=3, total=112697)
processed 112800 (new_ok=68797 fail=3, total=112797)
processed 112900 (new_ok=68897 fail=3, total=112897)
processed 113000 (new_ok=68997 fail=3, total=112997)
processed 113100 (new_ok=69097 fail=3, total=113097)
processed 113200 (new_ok=69197 fail=3, total=113197)
processed 113300 (new_ok=69297 fail=3, total=113297)
processed 113400 (new_ok=69397 fail=3, total=113397)
processed 113500 (new_ok=69497 fail=3, total=113497)
processed 113600 (new_ok=69597 fail=3, total=113597)
processed 113700 (new_ok=69697 fail=3, total=113697)
processed 113800 (new_ok=69797 fail=3, total=113797)
processed 113900 (new_ok=69897 fail=3, total=113897)
processed 114000 (new_ok=69997 fail=3, total=113997)
processed 114100 (new_ok=70097 fail=3, total=114097)
processed 114200 (new_ok=70197 fail=3, total=114197)
processed 114300 (new_ok=70297 fail=3, total=114297)
processed 114400 (new_ok=70397 fail=3, total=114397)
processed 114500 (new_ok=70497 fail=3, total=114497)
processed 114600 (new_ok=70597 fail=3, total=114597)
processed 114700 (new_ok=70697 fail=3, total=114697)
processed 114800 (new_ok=70797 fail=3, total=114797)
processed 114900 (new_ok=70897 fail=3, total=114897)
processed 115000 (new_ok=70997 fail=3, total=114997)
processed 115100 (new_ok=71097 fail=3, total=115097)
processed 115200 (new_ok=71197 fail=3, total=115197)
processed 115300 (new_ok=71297 fail=3, total=115297)
processed 115400 (new_ok=71397 fail=3, total=115397)
processed 115500 (new_ok=71497 fail=3, total=115497)
processed 115600 (new_ok=71597 fail=3, total=115597)
processed 115700 (new_ok=71697 fail=3, total=115697)
processed 115800 (new_ok=71797 fail=3, total=115797)
processed 115900 (new_ok=71897 fail=3, total=115897)
processed 116000 (new_ok=71997 fail=3, total=115997)
processed 116100 (new_ok=72097 fail=3, total=116097)
processed 116200 (new_ok=72197 fail=3, total=116197)
processed 116300 (new_ok=72297 fail=3, total=116297)
processed 116400 (new_ok=72397 fail=3, total=116397)
processed 116500 (new_ok=72497 fail=3, total=116497)
processed 116600 (new_ok=72597 fail=3, total=116597)
processed 116700 (new_ok=72697 fail=3, total=116697)
processed 116800 (new_ok=72797 fail=3, total=116797)
processed 116900 (new_ok=72897 fail=3, total=116897)
processed 117000 (new_ok=72997 fail=3, total=116997)
processed 117100 (new_ok=73097 fail=3, total=117097)
processed 117200 (new_ok=73197 fail=3, total=117197)
processed 117300 (new_ok=73297 fail=3, total=117297)
processed 117400 (new_ok=73397 fail=3, total=117397)
processed 117500 (new_ok=73497 fail=3, total=117497)
processed 117600 (new_ok=73597 fail=3, total=117597)
processed 117700 (new_ok=73697 fail=3, total=117697)
processed 117800 (new_ok=73797 fail=3, total=117797)
processed 117900 (new_ok=73897 fail=3, total=117897)
processed 118000 (new_ok=73997 fail=3, total=117997)
processed 118100 (new_ok=74097 fail=3, total=118097)
processed 118200 (new_ok=74197 fail=3, total=118197)
processed 118300 (new_ok=74297 fail=3, total=118297)
processed 118400 (new_ok=74397 fail=3, total=118397)
processed 118500 (new_ok=74497 fail=3, total=118497)
processed 118600 (new_ok=74597 fail=3, total=118597)
processed 118700 (new_ok=74697 fail=3, total=118697)
processed 118800 (new_ok=74797 fail=3, total=118797)
processed 118900 (new_ok=74897 fail=3, total=118897)
processed 119000 (new_ok=74997 fail=3, total=118997)
processed 119100 (new_ok=75097 fail=3, total=119097)
processed 119200 (new_ok=75197 fail=3, total=119197)
processed 119300 (new_ok=75297 fail=3, total=119297)
processed 119400 (new_ok=75397 fail=3, total=119397)
processed 119500 (new_ok=75497 fail=3, total=119497)
processed 119600 (new_ok=75597 fail=3, total=119597)
processed 119700 (new_ok=75697 fail=3, total=119697)
processed 119800 (new_ok=75797 fail=3, total=119797)
processed 119900 (new_ok=75897 fail=3, total=119897)
processed 120000 (new_ok=75997 fail=3, total=119997)
processed 120100 (new_ok=76097 fail=3, total=120097)
processed 120200 (new_ok=76197 fail=3, total=120197)
processed 120300 (new_ok=76297 fail=3, total=120297)
processed 120400 (new_ok=76397 fail=3, total=120397)
processed 120500 (new_ok=76497 fail=3, total=120497)
processed 120600 (new_ok=76597 fail=3, total=120597)
processed 120700 (new_ok=76697 fail=3, total=120697)
processed 120800 (new_ok=76797 fail=3, total=120797)
processed 120900 (new_ok=76897 fail=3, total=120897)
processed 121000 (new_ok=76997 fail=3, total=120997)
processed 121100 (new_ok=77097 fail=3, total=121097)
processed 121200 (new_ok=77197 fail=3, total=121197)
processed 121300 (new_ok=77297 fail=3, total=121297)
processed 121400 (new_ok=77397 fail=3, total=121397)
processed 121500 (new_ok=77497 fail=3, total=121497)
processed 121600 (new_ok=77597 fail=3, total=121597)
processed 121700 (new_ok=77697 fail=3, total=121697)
processed 121800 (new_ok=77797 fail=3, total=121797)
processed 121900 (new_ok=77897 fail=3, total=121897)
processed 122000 (new_ok=77997 fail=3, total=121997)
processed 122100 (new_ok=78097 fail=3, total=122097)
processed 122200 (new_ok=78197 fail=3, total=122197)
processed 122300 (new_ok=78297 fail=3, total=122297)
processed 122400 (new_ok=78397 fail=3, total=122397)
processed 122500 (new_ok=78497 fail=3, total=122497)
processed 122600 (new_ok=78597 fail=3, total=122597)
processed 122700 (new_ok=78697 fail=3, total=122697)
processed 122800 (new_ok=78797 fail=3, total=122797)
processed 122900 (new_ok=78897 fail=3, total=122897)
processed 123000 (new_ok=78997 fail=3, total=122997)
processed 123100 (new_ok=79097 fail=3, total=123097)
processed 123200 (new_ok=79197 fail=3, total=123197)
processed 123300 (new_ok=79297 fail=3, total=123297)
processed 123400 (new_ok=79397 fail=3, total=123397)
processed 123500 (new_ok=79497 fail=3, total=123497)
processed 123600 (new_ok=79597 fail=3, total=123597)
processed 123700 (new_ok=79697 fail=3, total=123697)
processed 123800 (new_ok=79797 fail=3, total=123797)
processed 123900 (new_ok=79897 fail=3, total=123897)
processed 124000 (new_ok=79997 fail=3, total=123997)
processed 124100 (new_ok=80097 fail=3, total=124097)
processed 124200 (new_ok=80197 fail=3, total=124197)
processed 124300 (new_ok=80297 fail=3, total=124297)
processed 124400 (new_ok=80397 fail=3, total=124397)
processed 124500 (new_ok=80497 fail=3, total=124497)
processed 124600 (new_ok=80597 fail=3, total=124597)
processed 124700 (new_ok=80697 fail=3, total=124697)
processed 124800 (new_ok=80797 fail=3, total=124797)
processed 124900 (new_ok=80897 fail=3, total=124897)
processed 125000 (new_ok=80997 fail=3, total=124997)
processed 125100 (new_ok=81097 fail=3, total=125097)
processed 125200 (new_ok=81197 fail=3, total=125197)
processed 125300 (new_ok=81297 fail=3, total=125297)
processed 125400 (new_ok=81397 fail=3, total=125397)
processed 125500 (new_ok=81497 fail=3, total=125497)
processed 125600 (new_ok=81597 fail=3, total=125597)
processed 125700 (new_ok=81697 fail=3, total=125697)
processed 125800 (new_ok=81797 fail=3, total=125797)
processed 125900 (new_ok=81897 fail=3, total=125897)
processed 126000 (new_ok=81997 fail=3, total=125997)
processed 126100 (new_ok=82097 fail=3, total=126097)
processed 126200 (new_ok=82197 fail=3, total=126197)
processed 126300 (new_ok=82297 fail=3, total=126297)
processed 126400 (new_ok=82397 fail=3, total=126397)
processed 126500 (new_ok=82497 fail=3, total=126497)
processed 126600 (new_ok=82597 fail=3, total=126597)
processed 126700 (new_ok=82697 fail=3, total=126697)
processed 126800 (new_ok=82797 fail=3, total=126797)
processed 126900 (new_ok=82897 fail=3, total=126897)
processed 127000 (new_ok=82997 fail=3, total=126997)
processed 127100 (new_ok=83097 fail=3, total=127097)
processed 127200 (new_ok=83197 fail=3, total=127197)
processed 127300 (new_ok=83297 fail=3, total=127297)
processed 127400 (new_ok=83397 fail=3, total=127397)
processed 127500 (new_ok=83497 fail=3, total=127497)
processed 127600 (new_ok=83597 fail=3, total=127597)
processed 127700 (new_ok=83697 fail=3, total=127697)
processed 127800 (new_ok=83797 fail=3, total=127797)
processed 127900 (new_ok=83897 fail=3, total=127897)
processed 128000 (new_ok=83997 fail=3, total=127997)
processed 128100 (new_ok=84097 fail=3, total=128097)
processed 128200 (new_ok=84197 fail=3, total=128197)
processed 128300 (new_ok=84297 fail=3, total=128297)
processed 128400 (new_ok=84397 fail=3, total=128397)
processed 128500 (new_ok=84497 fail=3, total=128497)
processed 128600 (new_ok=84597 fail=3, total=128597)
processed 128700 (new_ok=84697 fail=3, total=128697)
processed 128800 (new_ok=84797 fail=3, total=128797)
processed 128900 (new_ok=84897 fail=3, total=128897)
processed 129000 (new_ok=84997 fail=3, total=128997)
processed 129100 (new_ok=85097 fail=3, total=129097)
processed 129200 (new_ok=85197 fail=3, total=129197)
processed 129300 (new_ok=85296 fail=4, total=129296)
processed 129400 (new_ok=85395 fail=5, total=129395)
processed 129500 (new_ok=85494 fail=6, total=129494)
processed 129600 (new_ok=85593 fail=7, total=129593)
processed 129700 (new_ok=85692 fail=8, total=129692)
processed 129800 (new_ok=85791 fail=9, total=129791)
processed 129900 (new_ok=85890 fail=10, total=129890)
processed 130000 (new_ok=85989 fail=11, total=129989)
processed 130100 (new_ok=86088 fail=12, total=130088)
processed 130200 (new_ok=86187 fail=13, total=130187)
processed 130300 (new_ok=86286 fail=14, total=130286)
processed 130400 (new_ok=86385 fail=15, total=130385)
processed 130500 (new_ok=86484 fail=16, total=130484)
processed 130600 (new_ok=86583 fail=17, total=130583)
processed 130700 (new_ok=86682 fail=18, total=130682)
processed 130800 (new_ok=86781 fail=19, total=130781)

screened 86812 molecules this run (19 skipped); 130812 total -> results/qh9_conjugation_screen_full.csv

Top 30 by ascending frontier gap (most quantum first):
   idx formula     DoU  gap_Ha nFront piAtoms arom
--------------------------------------------------
120899 C6H13NO2    1.0  0.0204      6       3    0
119658 C6H13NO2    1.0  0.0374      6       3    0
 54821 C5H10N2O2   2.0  0.0409      6       3    0
 95578 C5H10N2O2   2.0  0.0409      6       3    0
127707 C5H8N2O2    3.0  0.0519      5       6    5
130808 C8H9N       5.0  0.0636      3       4    0
 22028 C5H9N3O     3.0  0.0636      5       5    0
130807 C9H10       5.0  0.0646      2       3    0
126724 C3H5N5O     4.0  0.0681      4       7    0
127673 C3H5N5O     4.0  0.0681      4       7    0
 42111 C7H5NO      6.0  0.0693      4       8    0
 27307 C5H6N2O2    4.0  0.0700      3       9    5
 29675 C5H6N2O2    4.0  0.0700      3       9    5
 50081 C5H6N2O2    4.0  0.0700      3       9    5
 69852 C6H7N3      5.0  0.0709      2       4    0
 50080 C5H7N3O     4.0  0.0733      3       9    5
130812 C8H10O      4.0  0.0743      2       0    0
 29829 C6H9NO2     3.0  0.0749      3       7    0
  6485 C4H8N2O2    2.0  0.0750      5       3    0
130338 C3H3FN4O    4.0  0.0753      3       8    0
127062 C3H4N4O2    4.0  0.0758      3       9    0
 25504 C6H9NO2     3.0  0.0765      3       7    0
114679 C5H10N2O2   2.0  0.0769      5       3    0
 22016 C4H9N3O2    2.0  0.0772      3       3    0
110869 C6H11NO2    2.0  0.0773      4       3    0
117583 C6H10N2O    3.0  0.0778      3       7    0
 31852 C6H9NO2     3.0  0.0780      3       7    0
  4691 C5H7NO2     3.0  0.0781      3       7    0
 29673 C4H6N4O     4.0  0.0789      3       7    0
 45472 C6H8N2O     4.0  0.0796      5       6    5
